"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","leads_count","purchases_count","revenue","total_cost"
2023-06-01 00:00:00.000,yandex,cpc,freemium,132,103,25,1654810,21654
2023-06-01 00:00:00.000,yandex,cpc,prof-frontend,97,78,12,1057000,57138
2023-06-01 00:00:00.000,yandex,cpc,prof-python,85,62,7,613196,33026
2023-06-01 00:00:00.000,yandex,cpc,base-python,37,31,7,476021,12524
2023-06-01 00:00:00.000,vk,cpc,prof-python,99,40,5,355564,2028
2023-06-01 00:00:00.000,vk,cpc,freemium-frontend,130,43,5,338083,3160
2023-06-01 00:00:00.000,yandex,cpc,prof-java,64,49,4,284590,29490
2023-06-01 00:00:00.000,yandex,cpc,base-frontend,54,40,3,268515,18061
2023-06-01 00:00:00.000,vk,cpc,prof-java,87,23,2,232726,3115
2023-06-01 00:00:00.000,yandex,cpc,prof-data-analytics,17,14,2,220264,10086
2023-06-30 00:00:00.000,admitad,cpa,admitad,92,2,2,201150,
2023-06-01 00:00:00.000,yandex,cpc,prof-professions-brand,25,13,3,154287,4818
2023-06-20 00:00:00.000,telegram,cpp,base-java,4,1,1,151192,
2023-06-01 00:00:00.000,yandex,cpc,dod-php,6,4,1,150255,5964
2023-06-01 00:00:00.000,yandex,cpc,base-professions-retarget,4,4,1,134100,151
